Question,Option1,Option2,Option3,Option4,Answer
In what year did World War II end?,1943,1945,1950,1939,B
Which African country was formerly known as Abyssinia?,Nigeria,Egypt,Ethiopia,South Africa,C
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,B
What is the currency of Canada?,Dollar,Pound,Euro,Yen,A
Who painted "The Starry Night"?,Pablo Picasso,Vincent van Gogh,Claude Monet,Leonardo da Vinci,B
What is the largest desert in the world?,Gobi Desert,Sahara Desert,Arabian Desert,Karakum Desert,B
Which planet is known as the "Red Planet"?,Mars,Venus,Mercury,Saturn,A
What is the capital of India?,Beijing,Tokyo,New Delhi,Bangkok,C
Who wrote "Pride and Prejudice"?,Jane Austen,Charlotte BrontÃ«,Charles Dickens,Leo Tolstoy,A
What is the national animal of Australia?,Kangaroo,Koala,Platypus,Emu,A
In which year did the Titanic sink?,1910,1912,1915,1920,B
Who is the lead vocalist of the band Queen?,John Lennon,Freddie Mercury,Elvis Presley,David Bowie,B
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D
Who discovered the structure of the DNA double helix?,Marie Curie,James Watson,Rosalind Franklin,Francis Crick,D
Which country is known as the "Land of the Rising Sun"?,China,Japan,South Korea,Thailand,B
What is the capital of Brazil?,Buenos Aires,Bogota,Rio de Janeiro,Brasilia,D
Who wrote "1984"?,George Orwell,George Eliot,Jane Austen,Mark Twain,A
What is the largest river in the world?,Amazon River,Nile River,Ganges River,Yangtze River,A
Who is known as the "Father of Modern Physics"?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,B
What is the currency of South Africa?,Rand,Peso,Baht,Yen,A
